req_count,iat_mean,iat_std,unique_path_ratio,path_entropy_mean,depth_mean,payload_len_mean,payload_len_std,error_rate_4xx,label
3,1265.9672498703003,162.75203227996826,1.0,2.626427672314989,1.0,6.666666666666667,1.247219128924647,0.0,0
4,1745.4054355621338,690.9274663859156,1.0,1.9698207542362418,1.0,5.25,2.680951323690902,0.0,0
5,1835.1967334747314,618.2418656135575,0.8,2.1373275878005145,1.0,5.6,2.4979991993593593,0.0,0
5,2466.619074344635,1031.9823808544256,0.8,2.137327587800514,1.0,5.6,2.4979991993593593,0.0,0
3,4719.201326370239,2096.6694355010986,0.6666666666666666,2.7332241149454553,1.0,6.666666666666667,0.4714045207910317,0.0,0
3,4905.586957931519,3533.3144664764404,0.6666666666666666,2.607309364962454,1.0,7.0,1.4142135623730951,0.0,0
3,2771.999478340149,753.6205053329468,1.0,1.8524516406858682,1.0,5.333333333333333,3.0912061651652345,0.0,0
4,3268.145720163981,933.2477862768723,0.75,2.0911774610288023,1.0,5.75,2.7726341266023544,0.0,0
3,4199.456691741943,60.98151206970215,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,3875.067114830017,263.4080648422241,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
4,3238.2843494415283,925.8728060633234,0.5,2.7517568167234923,1.0,6.75,0.4330127018922193,0.0,0
3,2387.7590894699097,317.0541524887085,0.6666666666666666,2.464618729924908,1.0,6.0,1.4142135623730951,0.0,0
3,4231.641173362732,1526.8279314041138,0.3333333333333333,2.321928094887362,1.0,5.0,0.0,0.0,0
3,4690.549254417419,2637.560486793518,0.6666666666666666,1.5479520632582415,1.0,3.6666666666666665,1.8856180831641267,0.0,0
3,2271.9966173171997,219.00784969329834,1.0,1.7097610056483223,1.0,4.333333333333333,2.494438257849294,0.0,0
4,2531.416336695353,408.13413696479904,1.0,1.9698207542362418,1.0,5.25,2.680951323690902,0.0,0
4,2942.420403162638,333.39287074627316,0.75,1.3893387305144012,1.0,4.25,3.2691742076555053,0.0,0
3,3372.5520372390747,516.4974927902222,1.0,1.7974391409262536,1.0,4.666666666666667,2.6246692913372702,0.0,0
3,3150.5417823791504,81.26497268676758,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,2958.8723182678223,642.3280239105225,0.6666666666666666,2.78823661470507,1.0,7.333333333333333,0.4714045207910317,0.0,0
3,3026.2449979782104,576.6047239303589,1.0,1.7097610056483223,1.0,4.333333333333333,2.494438257849294,0.0,0
3,3667.186141014099,472.12517261505127,1.0,2.5522968652028393,1.0,6.333333333333333,1.247219128924647,0.0,0
3,4456.057190895081,2914.2478704452515,0.6666666666666666,1.8715699480384032,1.0,5.0,2.8284271247461903,0.0,0
3,3632.084608078003,1332.9973220825195,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
4,3320.382038752238,1174.2678104112417,0.25,2.8073549220576046,1.0,7.0,0.0,0.0,0
3,4557.257771492004,1860.2808713912964,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,4391.076922416687,2026.4617204666138,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,2933.5602521896362,568.945050239563,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,2348.044276237488,1.7162561416625977,0.6666666666666666,2.7332241149454553,1.0,6.666666666666667,0.4714045207910317,0.0,0
4,2778.0046463012695,608.0574013535763,0.5,2.6961587113893803,1.0,6.5,0.5,0.0,0
3,3300.0857830047607,980.186939239502,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,2867.661476135254,547.7626323699951,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
4,3199.6466318766275,648.42698500231,0.25,2.8073549220576046,1.0,7.0,0.0,0.0,0
3,3898.4800577163696,1333.2759141921997,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,2882.9036951065063,317.6995515823364,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,3258.3087682724,221.97043895721436,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
4,3182.6601028442383,210.45828963485732,0.25,2.8073549220576046,1.0,7.0,0.0,0.0,0
3,3966.935634613037,935.5728626251221,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,3792.777419090271,1109.7310781478882,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,4679.855227470398,1996.8088865280151,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,3360.528588294983,737.9270792007446,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
3,4906.693339347839,979.9643754959106,0.3333333333333333,2.807354922057604,1.0,7.0,0.0,0.0,0
