req_count,iat_mean,iat_std,unique_path_ratio,path_entropy_mean,depth_mean,payload_len_mean,payload_len_std,error_rate_4xx,label
3,65.2245283126831,64.26846981048584,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,1
4,44.7535514831543,59.9311765769517,0.25,0.0,1.0,1.0,0.0,0.0,1
5,37.15091943740845,53.546330280350006,0.2,0.0,1.0,1.0,0.0,0.0,1
6,30.128812789916992,49.90999415216192,0.16666666666666666,0.0,1.0,1.0,0.0,0.0,1
7,25.45320987701416,46.745544278427474,0.14285714285714285,0.0,1.0,1.0,0.0,0.0,1
8,22.11873871939523,44.0419617623924,0.125,0.0,1.0,1.0,0.0,0.0,1
9,20.077377557754517,41.55000221589423,0.1111111111111111,0.0,1.0,1.0,0.0,0.0,1
10,18.461810217963325,39.439328421208245,0.1,0.0,1.0,1.0,0.0,0.0,1
11,17.49134063720703,37.52853400479283,0.09090909090909091,0.0,1.0,1.0,0.0,0.0,1
12,16.37744903564453,35.95501183991459,0.08333333333333333,0.0,1.0,1.0,0.0,0.0,1
13,20.02994219462077,36.49356663506252,0.07692307692307693,0.0,1.0,1.0,0.0,0.0,1
14,18.776673537034256,35.32964685768643,0.07142857142857142,0.0,1.0,1.0,0.0,0.0,1
15,17.95147146497454,34.174265329992295,0.06666666666666667,0.0,1.0,1.0,0.0,0.0,1
16,17.132361729939777,33.15742582591117,0.0625,0.0,1.0,1.0,0.0,0.0,1
17,16.406476497650146,32.22739669124847,0.058823529411764705,0.0,1.0,1.0,0.0,0.0,1
18,15.81736171946806,31.353844733068104,0.05555555555555555,0.0,1.0,1.0,0.0,0.0,1
19,15.302459398905436,30.54432927783029,0.05263157894736842,0.0,1.0,1.0,0.0,0.0,1
20,14.840878938373766,29.794095360758664,0.05,0.0,1.0,1.0,0.0,0.0,1
21,14.243686199188232,29.156128972047448,0.047619047619047616,0.0,1.0,1.0,0.0,0.0,1
22,13.74355951944987,28.541240291502884,0.045454545454545456,0.0,1.0,1.0,0.0,0.0,1
23,13.30367001620206,27.957799876863678,0.043478260869565216,0.0,1.0,1.0,0.0,0.0,1
24,12.852606566055961,27.42499533863057,0.041666666666666664,0.0,1.0,1.0,0.0,0.0,1
